<img src="jlptsenseigrammar-n3-1.png">|上げる（あげる）
<img src="jlptsenseigrammar-n3-2.png">|あまり
<img src="jlptsenseigrammar-n3-3.png">|あまりにも
<img src="jlptsenseigrammar-n3-4.png">|合う（あう）
<img src="jlptsenseigrammar-n3-5.png">|ばいい
<img src="jlptsenseigrammar-n3-6.png">|ばよかった
<img src="jlptsenseigrammar-n3-7.png">|ば～ほど
<img src="jlptsenseigrammar-n3-8.png">|ば～のに
<img src="jlptsenseigrammar-n3-9.png">|ばかりで
<img src="jlptsenseigrammar-n3-10.png">|ばかりでなく
<img src="jlptsenseigrammar-n3-11.png">|べきだ
<img src="jlptsenseigrammar-n3-12.png">|べきではない
<img src="jlptsenseigrammar-n3-13.png">|別に～ない（べつに～ない）
<img src="jlptsenseigrammar-n3-14.png">|ぶりに
<img src="jlptsenseigrammar-n3-15.png">|中（ちゅう）
<img src="jlptsenseigrammar-n3-16.png">|だけ
<img src="jlptsenseigrammar-n3-17.png">|だけでなく
<img src="jlptsenseigrammar-n3-18.png">|だけど
<img src="jlptsenseigrammar-n3-19.png">|だらけ
<img src="jlptsenseigrammar-n3-20.png">|どんなに～ても
<img src="jlptsenseigrammar-n3-21.png">|どうしても
<img src="jlptsenseigrammar-n3-22.png">|ふりをする
<img src="jlptsenseigrammar-n3-23.png">|ふと
<img src="jlptsenseigrammar-n3-24.png">|がち
<img src="jlptsenseigrammar-n3-25.png">|がたい
<img src="jlptsenseigrammar-n3-26.png">|気味（ぎみ） -like; -looking; -looked; tending to ~
<img src="jlptsenseigrammar-n3-27.png">|ごとに
<img src="jlptsenseigrammar-n3-28.png">|ほど
<img src="jlptsenseigrammar-n3-29.png">|ほど～ない
<img src="jlptsenseigrammar-n3-30.png">|一度に（いちどに）
<img src="jlptsenseigrammar-n3-31.png">|いくら～ても
<img src="jlptsenseigrammar-n3-32.png">|一方だ（いっぽうだ）
<img src="jlptsenseigrammar-n3-33.png">|一体（いったい）
<img src="jlptsenseigrammar-n3-34.png">|じゃない
<img src="jlptsenseigrammar-n3-35.png">|か何か（かなにか）
<img src="jlptsenseigrammar-n3-36.png">|かける
<img src="jlptsenseigrammar-n3-37.png">|から〜にかけて
<img src="jlptsenseigrammar-n3-38.png">|代わりに（かわりに）
<img src="jlptsenseigrammar-n3-39.png">|結果（けっか）
<img src="jlptsenseigrammar-n3-40.png">|結局（けっきょく）
<img src="jlptsenseigrammar-n3-41.png">|決して～ない（けっして～ない）
<img src="jlptsenseigrammar-n3-42.png">|切れない（きれない）
<img src="jlptsenseigrammar-n3-43.png">|きり
<img src="jlptsenseigrammar-n3-44.png">|切る（きる）
<img src="jlptsenseigrammar-n3-45.png">|っけ
<img src="jlptsenseigrammar-n3-46.png">|込む（こむ）
<img src="jlptsenseigrammar-n3-47.png">|こそ
<img src="jlptsenseigrammar-n3-48.png">|こと (must) do
<img src="jlptsenseigrammar-n3-49.png">|ことから
<img src="jlptsenseigrammar-n3-50.png">|ことになっている
<img src="jlptsenseigrammar-n3-51.png">|ことはない
<img src="jlptsenseigrammar-n3-52.png">|ことは～が
<img src="jlptsenseigrammar-n3-53.png">|くらい・ぐらい
<img src="jlptsenseigrammar-n3-54.png">|くせに
<img src="jlptsenseigrammar-n3-55.png">|まるで
